ParentLocation,Location,Value
Americas,Antigua and Barbuda,n
Americas,Antigua and Barbuda,n
Americas,Antigua and Barbuda,n
Americas,Argentina,n
Americas,Argentina,n
Western Pacific,Australia,n
Western Pacific,Australia,n
Europe,Azerbaijan,n
Europe,Azerbaijan,n
Americas,Bahamas,n
Americas,Bahamas,n
Americas,Bahamas,n
Eastern Mediterranean,Bahrain,n
Eastern Mediterranean,Bahrain,n
Americas,Barbados,n
Americas,Barbados,n
Americas,Barbados,n
Americas,Anguilla,n
Americas,Anguilla,n
Americas,Anguilla,n
Europe,Bosnia and Herzegovina,n
Europe,Bosnia and Herzegovina,n
Western Pacific,Brunei Darussalam,n
Western Pacific,Brunei Darussalam,n
Western Pacific,Brunei Darussalam,n
Africa,Comoros,n
Africa,Comoros,n
Africa,Comoros,n
Western Pacific,Cook Islands,n
Western Pacific,Cook Islands,n
Western Pacific,Cook Islands,n
Americas,Dominica,n
Americas,Dominica,n
Americas,Dominica,n
Africa,Equatorial Guinea,n
Africa,Equatorial Guinea,n
Africa,Equatorial Guinea,n
Africa,Eritrea,n
Africa,Eritrea,n
Africa,Eritrea,n
Americas,Grenada,n
Americas,Grenada,n
Americas,Grenada,n
Eastern Mediterranean,Iran (Islamic Republic of),n
Eastern Mediterranean,Iran (Islamic Republic of),n
Western Pacific,Japan,n
Western Pacific,Japan,n
Eastern Mediterranean,Kuwait,n
Eastern Mediterranean,Kuwait,n
Eastern Mediterranean,Lebanon,n
Eastern Mediterranean,Lebanon,n
Eastern Mediterranean,Libya,n
Eastern Mediterranean,Libya,n
Western Pacific,Malaysia,n
Western Pacific,Malaysia,n
Africa,Mauritius,n
Africa,Mauritius,n
Western Pacific,Micronesia (Federated States of),n
Western Pacific,Micronesia (Federated States of),n
Western Pacific,Micronesia (Federated States of),n
Europe,Monaco,n
Western Pacific,Nauru,n
Western Pacific,Nauru,n
Western Pacific,Nauru,n
Western Pacific,Niue,n
Western Pacific,Niue,n
Eastern Mediterranean,Qatar,n
Eastern Mediterranean,Qatar,n
Western Pacific,Republic of Korea,n
Western Pacific,Republic of Korea,n
Americas,Saint Kitts and Nevis,n
Americas,Saint Kitts and Nevis,n
Americas,Saint Kitts and Nevis,n
Americas,Saint Vincent and the Grenadines,n
Americas,Saint Vincent and the Grenadines,n
Americas,Saint Vincent and the Grenadines,n
Europe,San Marino,n
Europe,San Marino,n
Eastern Mediterranean,Saudi Arabia,n
Eastern Mediterranean,Saudi Arabia,n
Africa,Seychelles,n
Africa,Seychelles,n
Western Pacific,Singapore,n
Europe,Slovenia,n
Europe,Slovenia,n
Eastern Mediterranean,Syrian Arab Republic,n
Eastern Mediterranean,Syrian Arab Republic,n
Americas,Trinidad and Tobago,n
Americas,Trinidad and Tobago,n
Western Pacific,Tuvalu,n
Western Pacific,Tuvalu,n
Western Pacific,Tuvalu,n
Eastern Mediterranean,United Arab Emirates,n
Eastern Mediterranean,United Arab Emirates,n
Americas,Venezuela (Bolivarian Republic of),n
Americas,Venezuela (Bolivarian Republic of),n
Eastern Mediterranean,Afghanistan,0
Europe,Albania,0
Europe,Albania,0
Europe,Albania,0
Africa,Algeria,0
Africa,Algeria,0
Africa,Algeria,0
Europe,Andorra,0
Europe,Andorra,0
Europe,Andorra,0
Africa,Angola,0
Americas,Argentina,0
Europe,Armenia,0
Western Pacific,Australia,0
Europe,Austria,0
Europe,Austria,0
Europe,Austria,0
Europe,Azerbaijan,0
Eastern Mediterranean,Bahrain,0
South-East Asia,Bangladesh,0
South-East Asia,Bangladesh,0
South-East Asia,Bangladesh,0
Europe,Belarus,0
Europe,Belarus,0
Europe,Belarus,0
Europe,Belgium,0
Europe,Belgium,0
Europe,Belgium,0
South-East Asia,Bhutan,0
South-East Asia,Bhutan,0
South-East Asia,Bhutan,0
Europe,Bosnia and Herzegovina,0
Americas,Brazil,0
Europe,Bulgaria,0
Europe,Bulgaria,0
Europe,Bulgaria,0
Western Pacific,Cambodia,0
Americas,Canada,0
Americas,Canada,0
Americas,Canada,0
Americas,Chile,0
Americas,Chile,0
Americas,Chile,0
Europe,Croatia,0
Europe,Croatia,0
Europe,Croatia,0
Europe,Cyprus,0
Europe,Cyprus,0
Europe,Cyprus,0
Europe,Czechia,0
Europe,Czechia,0
Europe,Czechia,0
South-East Asia,Democratic People's Republic of Korea,0
South-East Asia,Democratic People's Republic of Korea,0
South-East Asia,Democratic People's Republic of Korea,0
Europe,Denmark,0
Europe,Denmark,0
Europe,Denmark,0
Americas,Ecuador,0
Eastern Mediterranean,Egypt,0
Eastern Mediterranean,Egypt,0
Eastern Mediterranean,Egypt,0
Americas,El Salvador,0
Europe,Estonia,0
Europe,Estonia,0
Europe,Estonia,0
Western Pacific,Fiji,0
Western Pacific,Fiji,0
Western Pacific,Fiji,0
Europe,Finland,0
Europe,Finland,0
